,Brand,Model,YOM,Fuel Type,Millage(KM),Price
284,DAIHATSU,CUORE,1991,Petrol,374000.0,12.5
285,DAIHATSU,CUORE,1997,Petrol,308000.0,18.25
286,DAIHATSU,CUOREMIRA,1997,Petrol,308000.0,18.5
287,DAIHATSU,DAIHATSU,1982,Diesel,473000.0,9.5
288,DAIHATSU,G101S,1994,Diesel,341000.0,12.5
289,DAIHATSU,JAPAN,1996,Petrol,319000.0,14.5
290,DAIHATSU,MINI HUMMER,2009,Petrol,176000.0,49.75
291,DAIHATSU,MIRA,1997,Petrol,308000.0,40.6875
292,DAIHATSU,MIRA,2015,Petrol,110000.0,51.0
293,DAIHATSU,MIRA,2015,Petrol,110000.0,50.75
294,DAIHATSU,MIRA,2017,Petrol,88000.0,59.6
295,DAIHATSU,MIRA,2017,Petrol,88000.0,59.9
296,DAIHATSU,MIRA,1997,Petrol,308000.0,40.6875
297,DAIHATSU,MIRA,2024,Petrol,11000.0,59.5
298,DAIHATSU,MIRA,2002,Petrol,253000.0,40.6875
299,DAIHATSU,MIRA,2016,Petrol,99000.0,54.375
300,DAIHATSU,MIRA,2015,Petrol,110000.0,51.0
301,DAIHATSU,MIRA,2019,Petrol,66000.0,59.9
302,DAIHATSU,MIRA,2017,Petrol,88000.0,59.6
303,DAIHATSU,MIRA,2016,Petrol,99000.0,53.0
304,DAIHATSU,MIRA,2015,Petrol,110000.0,52.5
305,DAIHATSU,MIRA,2017,Petrol,88000.0,59.6
306,DAIHATSU,MIRA,2015,Petrol,110000.0,52.0
307,DAIHATSU,MIRA,1996,Petrol,319000.0,40.6875
308,DAIHATSU,MIRA,2016,Petrol,99000.0,54.375
309,DAIHATSU,MIRA,2017,Petrol,88000.0,56.75
310,DAIHATSU,MIRA,2015,Petrol,110000.0,52.5
311,DAIHATSU,MIRA,2004,Petrol,231000.0,40.6875
312,DAIHATSU,MIRA,2015,Petrol,110000.0,49.9
313,DAIHATSU,MIRA,2017,Petrol,88000.0,57.75
314,DAIHATSU,MIRA,1994,Petrol,341000.0,40.6875
315,DAIHATSU,MIRA,1987,Petrol,418000.0,40.6875
316,DAIHATSU,MIRA,2016,Petrol,99000.0,52.0
317,DAIHATSU,MIRA,2015,Petrol,110000.0,53.5
318,DAIHATSU,MIRA,2016,Petrol,99000.0,61.0
319,DAIHATSU,MIRA,2015,Petrol,110000.0,53.5
320,DAIHATSU,MIRA,2016,Petrol,99000.0,52.0
321,DAIHATSU,MIRA,2017,Petrol,88000.0,64.0
322,DAIHATSU,MIRA,2016,Petrol,99000.0,54.75
323,DAIHATSU,MIRA,2016,Petrol,99000.0,53.5
324,DAIHATSU,MIRA,2015,Petrol,110000.0,57.0
325,DAIHATSU,MIRA ES,2016,Petrol,99000.0,52.0
326,DAIHATSU,MIRA ES,2018,Petrol,77000.0,63.4
327,DAIHATSU,MIRA ES,2016,Petrol,99000.0,52.0
328,DAIHATSU,MIRA ES SAFETY,2018,Petrol,77000.0,58.0
329,DAIHATSU,MIRA GINO SPECIAL EDITION,2001,Petrol,264000.0,41.0
330,DAIHATSU,MIRA JAPAN,2003,Petrol,242000.0,35.6
331,DAIHATSU,MIRA SAFETY,2016,Petrol,99000.0,54.0
332,DAIHATSU,MIRA SAFETY,2016,Petrol,99000.0,54.675
